longitude,latitude,vs_mean,vs_std,strain_azimuth,earthquake_occurred
53.40000000000005,34.7,3.4749638095238096,0.3160786776605644,114.32,0
53.50000000000005,34.7,3.4704836190476187,0.3111111062576235,110.44,0
53.60000000000005,34.7,3.464730666666666,0.3045587446680808,110.44,0
53.70000000000005,34.7,3.458825904761905,0.2974456889893856,110.44,0
53.80000000000005,34.7,3.4539889523809526,0.2909263150903624,110.44,0
53.900000000000055,34.7,3.4522120000000003,0.2878273839066894,110.44,0
54.00000000000006,34.7,3.448119666666668,0.2837198165342049,110.44,0
54.10000000000006,34.7,3.499064840223564,0.0,110.44,0
49.9,34.800000000000004,3.5347153333333328,0.2597650310839571,20.84,0
50.0,34.800000000000004,3.531403666666667,0.2596503109307664,20.84,0
50.1,34.800000000000004,3.5281985,0.2608479745447979,20.84,0
50.2,34.800000000000004,3.5244401666666665,0.2648841091032036,20.84,0
50.3,34.800000000000004,3.523912,0.2707302349008741,20.84,0
50.400000000000006,34.800000000000004,3.5231768333333338,0.2769734479417599,20.84,0
50.50000000000001,34.800000000000004,3.521532166666667,0.2824827160909538,112.99,0
50.60000000000001,34.800000000000004,3.5220645,0.2877348285180655,112.99,0
50.70000000000001,34.800000000000004,3.525027166666668,0.2922313983740139,112.99,0
50.80000000000001,34.800000000000004,3.5273105,0.2944261002140074,112.99,0
50.90000000000001,34.800000000000004,3.528495166666666,0.2948646570942524,112.99,0
51.000000000000014,34.800000000000004,3.5289878666666663,0.2946997407459155,112.99,0
51.100000000000016,34.800000000000004,3.5284977333333334,0.2933703673256075,112.99,0
51.20000000000002,34.800000000000004,3.5268884,0.2911760804711782,112.99,0
51.30000000000002,34.800000000000004,3.524898555555556,0.2891589858869288,119.85,0
51.40000000000002,34.800000000000004,3.5222742222222223,0.2884326106405609,119.85,1
51.50000000000002,34.800000000000004,3.518843666666667,0.2884132358816112,119.85,0
51.60000000000002,34.800000000000004,3.512822,0.2879205811841165,119.85,0
51.70000000000002,34.800000000000004,3.5080501904761907,0.2870204930602865,119.85,0
51.800000000000026,34.800000000000004,3.5046159047619048,0.2865156866029869,119.85,0
51.90000000000003,34.800000000000004,3.503960380952381,0.2881111620348691,119.85,1
52.00000000000003,34.800000000000004,3.5066659047619044,0.2935135040885769,119.85,1
52.10000000000003,34.800000000000004,3.511751428571429,0.3025604015563662,119.85,1
52.20000000000003,34.800000000000004,3.5172489523809523,0.3129372882410106,119.85,1
52.30000000000003,34.800000000000004,3.522351619047619,0.3229239334418544,119.85,0
52.400000000000034,34.800000000000004,3.527142,0.3317040476273884,114.32,0
52.50000000000004,34.800000000000004,3.530647142857143,0.338265580501166,114.32,0
52.60000000000004,34.800000000000004,3.5310614285714284,0.3417731338362578,114.32,0
52.70000000000004,34.800000000000004,3.5276278095238096,0.3425683785506253,114.32,0
52.80000000000004,34.800000000000004,3.521142476190476,0.3419401185535524,114.32,0
52.90000000000004,34.800000000000004,3.513306571428572,0.3410454547093953,114.32,0
53.00000000000004,34.800000000000004,3.505322571428572,0.3396082328730201,114.32,0
53.10000000000005,34.800000000000004,3.496079428571429,0.3354866608025018,114.32,0
53.200000000000045,34.800000000000004,3.485868095238095,0.328192440380587,114.32,0
53.30000000000005,34.800000000000004,3.4771431428571424,0.3200256667429793,114.32,0
53.40000000000005,34.800000000000004,3.4710799047619045,0.3130763767512424,114.32,0
53.50000000000005,34.800000000000004,3.465243333333333,0.3066373765914891,110.44,0
53.60000000000005,34.800000000000004,3.4584500952380948,0.2996113018040592,110.44,0
53.70000000000005,34.800000000000004,3.4522882857142854,0.292726058760603,110.44,0
53.80000000000005,34.800000000000004,3.4479683809523807,0.2867244591452114,110.44,0
53.900000000000055,34.800000000000004,3.4462874666666674,0.2836528517336718,110.44,0
54.00000000000006,34.800000000000004,3.443725333333333,0.2807532298629596,110.44,0
54.10000000000006,34.800000000000004,3.499064840223564,0.0,110.44,0
49.9,34.900000000000006,3.528092,0.2603633745003472,20.84,0
50.0,34.900000000000006,3.524648333333333,0.2591127467899879,20.84,0
50.1,34.900000000000006,3.523359666666667,0.2615920429500488,20.84,0
50.2,34.900000000000006,3.5229505000000003,0.2682034275147027,20.84,0
50.3,34.900000000000006,3.5238465000000003,0.2754685256106163,20.84,0
50.400000000000006,34.900000000000006,3.5228385,0.2814332931594642,20.84,0
50.50000000000001,34.900000000000006,3.5214008333333338,0.2860195940192042,112.99,0
50.60000000000001,34.900000000000006,3.5218831666666666,0.2896040964623691,112.99,0
50.70000000000001,34.900000000000006,3.5234528333333333,0.2915851298309577,112.99,0
50.80000000000001,34.900000000000006,3.524003833333333,0.2909916705953947,112.99,0
50.90000000000001,34.900000000000006,3.524059,0.2888691117534179,112.99,0
51.000000000000014,34.900000000000006,3.5250630666666667,0.2880051302366894,112.99,0
51.100000000000016,34.900000000000006,3.526098,0.2860743443174091,112.99,0
51.20000000000002,34.900000000000006,3.5271446666666666,0.2861003910015799,112.99,0
51.30000000000002,34.900000000000006,3.5267298095238098,0.2844575231817935,119.85,1
51.40000000000002,34.900000000000006,3.525977619047619,0.284973476537525,119.85,1
51.50000000000002,34.900000000000006,3.523969428571429,0.2862126818725674,119.85,1
51.60000000000002,34.900000000000006,3.520661047619048,0.2872297999774541,119.85,0
51.70000000000002,34.900000000000006,3.517071238095238,0.2882746309870588,119.85,0
51.800000000000026,34.900000000000006,3.5152469523809526,0.2909410983719483,119.85,0
51.90000000000003,34.900000000000006,3.516644476190476,0.29706466412877,119.85,1
52.00000000000003,34.900000000000006,3.5207322857142858,0.3067396881362066,119.85,1
52.10000000000003,34.900000000000006,3.525778380952381,0.3180630802099007,119.85,1
52.20000000000003,34.900000000000006,3.5306553333333333,0.3289470041941213,119.85,1
52.30000000000003,34.900000000000006,3.535179142857143,0.3388209744533001,119.85,0
52.400000000000034,34.900000000000006,3.5389703809523807,0.3474936847521943,114.32,0
52.50000000000004,34.900000000000006,3.540584761904762,0.3538227341256725,114.32,0
52.60000000000004,34.900000000000006,3.538326666666667,0.3564786493316223,114.32,0
52.70000000000004,34.900000000000006,3.5321149523809523,0.3555055615927843,114.32,0
52.80000000000004,34.900000000000006,3.5236021904761903,0.3525707018927383,114.32,0
52.90000000000004,34.900000000000006,3.514653523809524,0.3493227387630703,114.32,0
